Tiempo,Tension
1.699152204167953e-02,-6.787684e-01
1.703096735417953e-02,-7.059638e-01
1.707041266667953e-02,-7.322424e-01
1.710985797917952e-02,-7.576042e-01
1.714930329167953e-02,-7.820493e-01
1.718874860417953e-02,-8.055777e-01
1.722819391667953e-02,-8.281893e-01
1.725449079167953e-02,-8.426436e-01
1.728078766667953e-02,-8.566008e-01
1.730708454167953e-02,-8.700609e-01
1.733338141667953e-02,-8.830239e-01
1.735967829167953e-02,-8.954897e-01
1.738597516667953e-02,-9.074585e-01
1.741227204167953e-02,-9.189302e-01
1.743856891667953e-02,-9.298702e-01
1.746486579167953e-02,-9.402603e-01
1.749116266667953e-02,-9.501006e-01
1.751745954167953e-02,-9.593909e-01
1.754375641667953e-02,-9.681314e-01
1.757005329167953e-02,-9.763219e-01
1.759635016667953e-02,-9.839626e-01
1.763141266667953e-02,-9.932620e-01
1.766647516667953e-02,-1.001517e+00
1.770153766667953e-02,-1.008727e+00
1.773660016667953e-02,-1.014892e+00
1.777166266667953e-02,-1.020013e+00
1.780672516667953e-02,-1.024089e+00
1.784178766667953e-02,-1.027121e+00
1.793382672917953e-02,-1.029971e+00
1.802586579167953e-02,-1.025482e+00
1.807407672917953e-02,-1.020151e+00
1.812228766667953e-02,-1.012888e+00
1.817049860417953e-02,-1.003694e+00
1.821870954167953e-02,-9.925680e-01
1.826692047917953e-02,-9.795101e-01
1.831513141667953e-02,-9.645205e-01
1.836334235417953e-02,-9.475991e-01
1.841593610417953e-02,-9.269689e-01
1.846852985417953e-02,-9.044104e-01
1.852112360417953e-02,-8.799236e-01
1.857371735417953e-02,-8.535085e-01
1.862631110417953e-02,-8.251650e-01
1.867890485417953e-02,-7.948931e-01
1.873149860417953e-02,-7.626930e-01
1.882353766667953e-02,-7.027827e-01
1.891557672917953e-02,-6.383571e-01
1.900761579167953e-02,-5.699663e-01
1.909965485417953e-02,-4.981936e-01
1.916101422917953e-02,-4.487676e-01
1.922237360417953e-02,-3.982973e-01
1.928373297917953e-02,-3.469739e-01
1.934509235417953e-02,-2.949917e-01
1.940645172917953e-02,-2.425476e-01
1.946781110417953e-02,-1.898399e-01
1.952917047917953e-02,-1.370681e-01
1.959052985417954e-02,-8.443192e-02
1.965188922917954e-02,-3.213037e-02
1.968256891667954e-02,-6.166983e-03
1.971324860417954e-02,1.963871e-02
1.977460797917954e-02,7.067958e-02
1.983596735417954e-02,1.207992e-01
1.989732672917954e-02,1.698082e-01
1.995868610417954e-02,2.175213e-01
2.002004547917954e-02,2.637580e-01
2.008140485417954e-02,3.083437e-01
2.014276422917954e-02,3.511099e-01
2.023480329167954e-02,4.114959e-01
2.032684235417954e-02,4.669127e-01
2.041888141667954e-02,5.168894e-01
2.045394391667954e-02,5.344539e-01
2.048900641667954e-02,5.510971e-01
2.052406891667954e-02,5.668189e-01
2.055913141667954e-02,5.816194e-01
2.059419391667954e-02,5.954985e-01
2.062925641667954e-02,6.084563e-01
2.066431891667954e-02,6.204927e-01
2.069061579167954e-02,6.288566e-01
2.071691266667954e-02,6.366513e-01
2.074320954167954e-02,6.438768e-01
2.076950641667954e-02,6.505330e-01
2.079580329167954e-02,6.566201e-01
2.082210016667954e-02,6.621380e-01
2.084839704167954e-02,6.670866e-01
2.087031110417954e-02,6.707588e-01
2.089222516667954e-02,6.740207e-01
2.091413922917954e-02,6.768724e-01
2.093605329167954e-02,6.793137e-01
2.095796735417954e-02,6.813448e-01
2.097988141667954e-02,6.829656e-01
2.100179547917954e-02,6.841761e-01
2.109383454167954e-02,6.847308e-01
2.112451422917954e-02,6.832853e-01
2.115519391667954e-02,6.810378e-01
2.118587360417954e-02,6.779883e-01
2.121655329167954e-02,6.741368e-01
2.124723297917954e-02,6.694832e-01
2.127791266667954e-02,6.640276e-01
2.130859235417954e-02,6.577700e-01
2.137433454167954e-02,6.414774e-01
2.144007672917954e-02,6.219029e-01
2.150581891667954e-02,5.990466e-01
2.157156110417954e-02,5.729084e-01
2.163730329167954e-02,5.434883e-01
2.170304547917954e-02,5.107863e-01
2.176878766667954e-02,4.748025e-01
2.186082672917954e-02,4.201544e-01
2.195286579167954e-02,3.604558e-01
2.204490485417954e-02,2.962130e-01
2.213694391667954e-02,2.279713e-01
2.222898297917954e-02,1.563098e-01
2.232102204167954e-02,8.183672e-02
2.238238141667954e-02,3.093741e-02
2.241306110417954e-02,5.184317e-03
2.244374079167955e-02,-2.073872e-02
2.253577985417955e-02,-9.928206e-02
2.257522516667955e-02,-1.333114e-01
2.261467047917955e-02,-1.672732e-01
2.265411579167955e-02,-2.011674e-01
2.269356110417954e-02,-2.349942e-01
2.273300641667955e-02,-2.687534e-01
2.277245172917955e-02,-3.024452e-01
2.281189704167955e-02,-3.360693e-01
2.287325641667955e-02,-3.881117e-01
2.293461579167955e-02,-4.388821e-01
2.299597516667955e-02,-4.883806e-01
2.305733454167955e-02,-5.366072e-01
2.311869391667955e-02,-5.835618e-01
2.318005329167955e-02,-6.292445e-01
2.324141266667955e-02,-6.736552e-01
2.328085797917955e-02,-7.010261e-01
2.332030329167955e-02,-7.274749e-01
2.335974860417955e-02,-7.530018e-01
2.339919391667955e-02,-7.776068e-01
2.343863922917955e-02,-8.012897e-01
2.347808454167955e-02,-8.240507e-01
2.351752985417955e-02,-8.458897e-01
2.354382672917955e-02,-8.598267e-01
2.357012360417955e-02,-8.732649e-01
2.359642047917955e-02,-8.862043e-01
2.362271735417955e-02,-8.986449e-01
2.364901422917955e-02,-9.105867e-01
2.367531110417955e-02,-9.220298e-01
2.370160797917955e-02,-9.329741e-01
2.372352204167955e-02,-9.416833e-01
2.374543610417955e-02,-9.500124e-01
2.376735016667955e-02,-9.579612e-01
2.378926422917955e-02,-9.655300e-01
2.381117829167955e-02,-9.727185e-01
2.383309235417955e-02,-9.795269e-01
2.385500641667955e-02,-9.859551e-01
2.389006891667955e-02,-9.954305e-01
2.392513141667955e-02,-1.003867e+00
2.396019391667955e-02,-1.011265e+00
2.399525641667955e-02,-1.017625e+00
2.403031891667955e-02,-1.022946e+00
2.406538141667955e-02,-1.027228e+00
2.410044391667955e-02,-1.030472e+00
2.419248297917955e-02,-1.033884e+00
2.428452204167955e-02,-1.029960e+00
2.432835016667955e-02,-1.025479e+00
2.437217829167955e-02,-1.019384e+00
2.441600641667955e-02,-1.011676e+00
2.445983454167955e-02,-1.002355e+00
2.450366266667955e-02,-9.914202e-01
2.454749079167955e-02,-9.788725e-01
2.459131891667955e-02,-9.647115e-01
2.464829547917955e-02,-9.438551e-01
2.470527204167955e-02,-9.206744e-01
2.476224860417955e-02,-8.951695e-01
2.481922516667955e-02,-8.673404e-01
2.487620172917955e-02,-8.371871e-01
2.493317829167955e-02,-8.047097e-01
2.499015485417955e-02,-7.699080e-01
2.501206891667955e-02,-7.560624e-01
2.503398297917955e-02,-7.419482e-01
2.505589704167955e-02,-7.275654e-01
2.507781110417956e-02,-7.129141e-01
2.509972516667956e-02,-6.979941e-01
2.512163922917955e-02,-6.828056e-01
2.514355329167955e-02,-6.673484e-01
2.517861579167955e-02,-6.420606e-01
2.521367829167956e-02,-6.162600e-01
2.524874079167955e-02,-5.899468e-01
2.528380329167956e-02,-5.631209e-01
2.531886579167955e-02,-5.357823e-01
2.535392829167956e-02,-5.079311e-01
2.538899079167956e-02,-4.795672e-01
2.543720172917956e-02,-4.398062e-01
